URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 404 Not Found, Method: GET
URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 200 OK, Method: POST
URL: http://localhost:8000, Status: 404 Not Found, Method: GET
